tag,model_name,model_id,variant,expected_seed_count,completed_seed_count,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mcc_mean,mcc_std,macro_fpr_mean,macro_fpr_std,macro_f1_across_cwe_mean_mean,macro_f1_across_cwe_mean_std,macro_f1_across_cwe_std_mean,macro_f1_across_cwe_std_std,macro_f1_mean_std
ICMLDE:Juliet118:CodeT5-Small,CodeT5-Small,Salesforce/codet5-small,codet5-small,5,5,0.9978438098632335,0.0002590001666815113,0.9530654050843024,0.01515956051789189,0.9555747729170581,0.014640895377836487,0.9539169057178711,0.014949313201523486,0.997814549544921,0.00025768919796369006,0.9977517009628192,0.0002696676294951309,1.876215732725984e-05,2.438797287080678e-06,0.9539169057178709,0.014949313201523508,0.2011312903569936,0.034629791362671504,0.9539 +/- 0.0149
ICMLDE:Juliet118:CodeT5-Base,CodeT5-Base,Salesforce/codet5-base,codet5-base,5,5,0.9977547110972512,0.0003386925256604033,0.9547608696155041,0.007612322986549615,0.9556145986248824,0.009056938461752281,0.9537379991234127,0.006847261812451978,0.9976547320182372,0.0004793257286502192,0.9976589330866016,0.0003530691155631285,1.9667403215631636e-05,2.940755201601653e-06,0.9537379991234127,0.006847261812452016,0.20254697991513018,0.018578538135225288,0.9537 +/- 0.0068
ICMLDE:Juliet118:CodeBERT-Base,CodeBERT-Base,microsoft/codebert-base,codebert-base,5,5,0.9945115160155031,0.0033534176306405815,0.9155235836882971,0.02838343878594975,0.9233558417891452,0.02182495808523966,0.9172092746934128,0.02601740992391626,0.9935964107909605,0.004582514994455443,0.9942808287694473,0.003489450204019446,4.797374683731033e-05,2.8364431506708604e-05,0.9172092746934126,0.02601740992391624,0.2577851768387366,0.03720365708987955,0.9172 +/- 0.0260
ICMLDE:Juliet118:GraphCodeBERT-Base,GraphCodeBERT-Base,microsoft/graphcodebert-base,graphcodebert-base,5,5,0.9973003073907426,0.0005753600673929998,0.949943211679692,0.01666340258957956,0.9522627375894294,0.014568026381020121,0.9507132303770831,0.015983425954790596,0.9971811856704335,0.0007131180071990902,0.9971849728075884,0.0005993745670307611,2.3574637545187204e-05,5.03966500439544e-06,0.9507132303770831,0.015983425954790596,0.2062731574279693,0.03377001808287177,0.9507 +/- 0.0160
