actual,predicted,count
CWE-121,CWE-194,8
CWE-195,CWE-194,6
CWE-114,CWE-15,4
CWE-122,CWE-194,4
CWE-124,CWE-194,4
CWE-127,CWE-194,4
CWE-367,CWE-194,4
CWE-321,CWE-194,2
CWE-484,CWE-194,2
CWE-526,CWE-194,2
CWE-36,CWE-223,1
CWE-114,CWE-319,1
CWE-114,CWE-457,1
CWE-253,CWE-15,1
CWE-469,CWE-476,1
CWE-475,CWE-121,1
CWE-510,CWE-476,1
