actual,predicted,count
CWE-114,CWE-123,8
CWE-194,CWE-123,6
CWE-121,CWE-123,4
CWE-126,CWE-123,4
CWE-366,CWE-123,4
CWE-478,CWE-476,4
CWE-511,CWE-123,3
CWE-90,CWE-123,2
CWE-90,CWE-127,2
CWE-191,CWE-123,2
CWE-319,CWE-123,2
CWE-191,CWE-190,1
CWE-468,CWE-364,1
CWE-506,CWE-571,1
