actual,predicted,count
CWE-366,CWE-194,8
CWE-114,CWE-194,6
CWE-484,CWE-194,5
CWE-90,CWE-127,4
CWE-123,CWE-194,4
CWE-126,CWE-194,4
CWE-190,CWE-194,3
CWE-191,CWE-194,3
CWE-526,CWE-194,3
CWE-90,CWE-500,2
CWE-114,CWE-190,2
CWE-121,CWE-194,2
CWE-121,CWE-526,2
CWE-319,CWE-194,2
CWE-468,CWE-475,1
CWE-469,CWE-479,1
CWE-510,CWE-526,1
